Water Control Zone,Station,Dates,Sample No,Depth,Total Inorganic Nitrogen (mg/L),Volatile Suspended Solids (mg/L),Unionised Ammonia (mg/L),Turbidity (NTU),Total Phosphorus (mg/L),Total Nitrogen (mg/L),Total Kjeldahl Nitrogen (mg/L),Temperature (°C),Suspended Solids (mg/L),Silica (mg/L),Secchi Disc Depth (M),Salinity (psu),Phaeo-pigments (μg/L),pH,Orthophosphate Phosphorus (mg/L),Nitrite Nitrogen (mg/L),Nitrate Nitrogen (mg/L),Faecal Coliforms (cfu/100mL),E. coli (cfu/100mL),Dissolved Oxygen (mg/L),Dissolved Oxygen (%saturation),Chlorophyll-a (μg/L),Ammonia Nitrogen (mg/L),5-day Biochemical Oxygen Demand (mg/L)
Southern,SM9,2012/6/22,1,Middle Water,0.41,1.3,0.003,11.9,0.03,0.95,0.67,28.2,12,1.3,2.3,28.5,2.2,7.6,0.022,0.04,0.24,90,110,6.1,91,5.4,0.13,<0.1
Southern,SM9,2012/6/22,1,Bottom Water,0.42,2.9,0.003,22.1,0.05,0.57,0.29,28.2,29,1.2,2.3,28.5,2,7.6,0.022,0.039,0.24,150,80,6.1,91,<0.2,0.14,<0.1
Southern,SM9,2012/7/9,1,Surface Water,0.55,2.4,0.001,12.8,0.04,0.92,0.38,28.8,6,1.9,2,22.6,13,7.9,0.004,0.057,0.48,16,5,12,176,24,0.011,2.5
Southern,SM9,2012/7/9,1,Middle Water,0.62,1.7,0.001,11.9,0.03,0.82,0.22,28,5.6,2.3,2,23.3,6.3,7.7,0.005,0.058,0.54,72,27,8.7,127,23,0.021,1.1
Southern,SM9,2012/7/9,1,Bottom Water,0.65,1.7,0.001,12.6,0.04,0.9,0.3,27.6,5.6,2.5,2,24,2.9,7.6,0.01,0.059,0.54,120,59,6.6,96,15,0.047,0.7
Southern,SM9,2012/8/10,1,Surface Water,0.7,1.7,0.004,1.6,0.02,0.92,0.27,28.8,4.3,2.5,2,23.6,7.2,8.1,0.006,0.07,0.58,210,78,7.4,109,21,0.054,1.4
Southern,SM9,2012/8/10,1,Middle Water,0.59,1.1,0.004,3.1,0.03,0.74,0.25,28,4.5,2.1,2,26.9,1.9,7.9,0.018,0.067,0.42,470,250,5.3,78,11,0.1,0.9
Southern,SM9,2012/8/10,1,Bottom Water,0.44,1.7,0.004,5.9,0.04,0.57,0.24,27.7,7.6,2,2,28.9,2.2,7.8,0.024,0.069,0.26,320,170,4.5,67,5.1,0.11,1
Southern,SM9,2012/9/14,1,Surface Water,0.34,2.2,0.004,6.4,0.04,0.59,0.32,28.5,11,1.1,1.7,29.1,0.6,8.1,0.011,0.042,0.23,87,54,5.4,82,4.8,0.063,0.8
Southern,SM9,2012/9/14,1,Middle Water,0.33,2.3,0.004,7.5,0.04,0.56,0.29,28.5,12,1.1,1.7,29.1,3.2,8,0.012,0.042,0.23,110,63,5.5,83,11,0.061,1
Southern,SM9,2012/9/14,1,Bottom Water,0.35,3,0.003,9.8,0.05,0.58,0.3,28.2,15,1.4,1.7,29.4,1.9,8,0.015,0.042,0.24,110,56,4.9,74,6.6,0.064,0.7
Southern,SM9,2012/10/26,1,Surface Water,0.31,1,0.002,4.6,0.04,0.53,0.26,26.7,5.5,1.1,2,31.3,<0.2,8.1,0.023,0.11,0.16,22,8,6,90,3.2,0.037,0.2
Southern,SM9,2012/10/26,1,Middle Water,0.3,1,0.002,5,0.05,0.56,0.3,26.7,5.9,1.1,2,31.3,<0.2,8.1,0.023,0.1,0.16,42,17,6.1,91,3.1,0.035,0.3
Southern,SM9,2012/10/26,1,Bottom Water,0.31,1.2,0.002,6.7,0.05,0.55,0.28,26.7,7.4,1.1,2,31.3,<0.2,8.1,0.023,0.11,0.16,31,11,6.1,90,3,0.038,0.2
Southern,SM9,2012/11/9,1,Surface Water,0.37,0.9,0.006,2.8,0.05,0.54,0.38,25.5,3.6,1.1,2.2,32.3,<0.2,7.8,0.034,0.079,0.084,6,<1,5.9,86,1.2,0.21,0.5
Southern,SM9,2012/11/9,1,Middle Water,0.35,1.1,0.005,3.2,0.05,0.55,0.39,25.3,4.3,1.1,2.2,32.3,<0.2,7.8,0.034,0.078,0.086,9,5,6.1,89,1.5,0.19,0.5
Southern,SM9,2012/11/9,1,Bottom Water,0.34,1.1,0.004,7.2,0.06,0.52,0.35,25.1,5.9,1.1,2.2,32.3,0.7,7.8,0.033,0.079,0.088,14,5,6.1,89,1.1,0.17,0.4
Southern,SM9,2012/12/7,1,Surface Water,0.24,0.9,0.002,4.2,0.04,0.45,0.3,21.5,2.9,1,2,32.9,0.2,7.7,0.025,0.036,0.11,160,99,6.4,88,0.3,0.092,0.1
Southern,SM9,2012/12/7,1,Middle Water,0.22,1.2,0.001,3.8,0.04,0.38,0.24,21.5,5,1,2,32.9,<0.2,7.7,0.023,0.038,0.1,300,230,6.5,89,0.7,0.081,<0.1
Southern,SM9,2012/12/7,1,Bottom Water,0.22,1.4,0.001,6.4,0.11,0.39,0.25,21.3,8,1,2,33,<0.2,7.7,0.023,0.037,0.1,220,150,6.6,90,0.8,0.081,<0.1
Southern,SM9,2013/1/4,1,Surface Water,0.18,0.5,0.001,2.5,0.03,0.28,0.2,19,2.2,0.55,2.1,33.4,<0.2,7.7,0.018,0.01,0.071,10,5,7.2,95,2.4,0.097,0.8
Southern,SM9,2013/1/4,1,Middle Water,0.18,0.6,0.001,2.4,0.04,0.24,0.16,19,2.5,0.61,2.1,33.4,<0.2,7.7,0.017,0.01,0.072,5,3,7.2,95,2.4,0.1,0.6
Southern,SM9,2013/1/4,1,Bottom Water,0.18,0.7,0.001,2.3,0.18,0.35,0.26,19,3,0.62,2.1,33.4,<0.2,7.7,0.017,0.011,0.077,1,1,7.3,96,2.7,0.088,0.7
Southern,SM9,2013/2/18,1,Surface Water,0.42,<0.5,0.002,1.1,0.05,0.56,0.3,18.5,1,0.78,3.5,31.2,<0.2,7.7,0.016,0.022,0.24,17,11,7.5,96,2.8,0.16,0.4
Southern,SM9,2013/2/18,1,Middle Water,0.44,1.1,0.003,1.1,0.05,0.58,0.33,18.5,1.1,0.77,3.5,31.3,0.3,7.7,0.01,0.021,0.23,120,65,7.2,93,2.2,0.19,0.7
Southern,SM9,2013/2/18,1,Bottom Water,0.48,0.8,0.004,1,0.06,0.62,0.38,18.5,0.9,0.79,3.5,31.3,<0.2,7.7,0.028,0.019,0.22,230,140,7.2,93,2.4,0.24,<0.1
Southern,SM9,2013/3/13,1,Surface Water,0.31,<0.5,0.002,3,0.04,0.61,0.42,19.9,0.8,0.4,3,31.2,1.5,7.7,0.015,0.019,0.17,11,1,7.7,102,1.9,0.12,0.5
Southern,SM9,2013/3/13,1,Middle Water,0.31,0.5,0.002,1,0.03,0.43,0.23,19.6,0.9,0.4,3,31.3,0.5,7.7,0.013,0.019,0.18,2,<1,7.7,101,1.7,0.11,0.6
Southern,SM9,2013/3/13,1,Bottom Water,0.31,0.5,0.002,0.9,0.04,0.44,0.25,19.5,1.1,0.37,3,31.3,0.9,7.7,0.014,0.021,0.17,80,41,7.6,100,1.6,0.12,0.3
Southern,SM9,2013/4/25,1,Surface Water,0.42,0.8,0.005,4.5,0.04,0.56,0.3,22.1,5.8,0.79,2,30.8,<0.2,7.9,0.003,0.036,0.22,33,15,6.3,86,0.5,0.16,0.5
Southern,SM9,2013/4/25,1,Middle Water,0.39,1.3,0.005,8.2,0.04,0.53,0.29,21.7,10,0.76,2,31,<0.2,7.9,0.004,0.031,0.21,68,41,6.2,85,1,0.15,0.6
Southern,SM9,2013/4/25,1,Bottom Water,0.39,1.2,0.005,8.4,0.04,0.54,0.3,21.6,9.1,0.75,2,31.1,0.5,7.9,0.003,0.029,0.21,110,61,6.2,85,0.7,0.15,0.4
Southern,SM9,2013/5/29,1,Surface Water,0.68,1.4,0.005,1.9,0.04,0.89,0.26,26.1,3.4,1.9,1.8,25.1,1.9,8.3,0.009,0.12,0.51,35,16,8.5,121,18,0.053,2.1
Southern,SM9,2013/5/29,1,Middle Water,0.66,1.7,0.002,1.9,0.04,0.99,0.36,25.5,4.2,1.7,1.8,25.4,1.9,8.1,0.006,0.12,0.51,56,24,7,99,23,0.033,2.3
Southern,SM9,2013/5/29,1,Bottom Water,0.59,1,0.005,14.9,0.04,0.64,0.17,24.5,5.9,2,1.8,28.5,1.2,8,0.022,0.11,0.36,120,75,4.6,65,3,0.12,0.8
Southern,SM9,2013/6/14,1,Surface Water,0.26,1.4,0.001,1.5,0.03,0.43,0.19,25.6,2.8,1.3,2.5,28.5,1.7,8.1,0.007,0.027,0.21,1,1,6.1,88,8.5,0.024,1.2
Southern,SM9,2013/6/14,1,Middle Water,0.27,2,0.001,1.7,0.03,0.51,0.26,25.5,4.7,1.3,2.5,28.7,2,8.1,0.006,0.027,0.22,2,2,5.9,85,10,0.025,1.2
Southern,SM9,2013/6/14,1,Bottom Water,0.32,1.3,0.002,2.9,0.03,0.44,0.16,25.1,4.1,1.8,2.5,29.6,1,8,0.014,0.031,0.25,6,2,4.6,66,2.6,0.04,1
Southern,SM9,2013/7/17,1,Surface Water,0.45,0.8,0.005,0.9,0.06,0.59,0.2,26.8,1.6,2,1.8,27.4,1.3,8.2,0.012,0.044,0.35,26,3,6,88,7.2,0.058,0.5
Southern,SM9,2013/7/17,1,Middle Water,0.46,0.9,0.005,0.7,0.06,0.58,0.19,26.8,2,2,1.8,27.4,0.7,8.2,0.017,0.044,0.35,33,12,6.1,89,1.4,0.062,0.4
Southern,SM9,2013/7/17,1,Bottom Water,0.43,1,0.009,1.6,0.08,0.5,0.2,26.4,3.8,2,1.8,28.5,<0.2,8.2,0.026,0.041,0.26,100,43,5,72,1.3,0.13,0.3
Southern,SM9,2013/8/28,1,Surface Water,0.73,2.5,0.001,3.5,0.06,1.03,0.32,27.7,2.5,3.8,2.5,22.2,3.1,8.2,0.011,0.12,0.59,100,52,6.9,99,7.4,0.017,1.3
Southern,SM9,2013/8/28,1,Middle Water,0.66,1.3,0.002,3.6,0.04,0.83,0.2,27.1,5.3,3.3,2.5,23.6,2.2,8.1,0.014,0.11,0.52,36,11,6,86,5.7,0.025,3.9
Southern,SM9,2013/8/28,1,Bottom Water,0.52,1.3,0.002,4.3,0.05,0.68,0.2,26.4,9.3,3.1,2.5,27,0.9,8,0.024,0.091,0.39,90,89,4.4,63,5,0.04,3.6
Southern,SM9,2013/9/25,1,Surface Water,0.49,1.1,0.003,4.1,0.04,0.62,0.17,28.5,4.8,2.1,2,26.8,0.7,8.2,0.026,0.13,0.32,22,9,5.8,87,1.7,0.035,0.6
Southern,SM9,2013/9/25,1,Middle Water,0.47,0.9,0.003,4.3,0.04,0.6,0.17,28.5,4.5,2.1,2,27,1,8.2,0.026,0.12,0.31,89,41,5.8,87,1.7,0.039,0.4
Southern,SM9,2013/9/25,1,Bottom Water,0.43,1.7,0.004,6,0.04,0.53,0.15,28.1,8.9,2.1,2,27.5,0.6,8.2,0.027,0.11,0.27,560,270,5.3,80,1.1,0.045,0.5
Southern,SM9,2013/10/17,1,Surface Water,0.26,1.3,0.003,3.4,0.03,0.33,0.13,27.2,6.7,1.4,2.5,30.8,0.7,8,0.024,0.073,0.13,7,3,4.3,64,2.8,0.055,0.3
Southern,SM9,2013/10/17,1,Middle Water,0.26,1.2,0.003,3.8,0.03,0.36,0.16,27.2,5.3,1.3,2.5,30.9,1.2,8,0.025,0.073,0.13,4,2,5.8,87,3,0.058,0.3
Southern,SM9,2013/10/17,1,Bottom Water,0.26,1.3,0.003,4,0.03,0.41,0.21,27.2,6.6,1.4,2.5,30.9,1.2,8,0.025,0.073,0.13,7,2,6,89,3.3,0.057,0.2
Southern,SM9,2013/11/14,1,Surface Water,0.31,0.8,0.005,4.8,0.04,0.46,0.28,24.1,4,1.2,2.5,31.8,<0.2,8,0.031,0.054,0.13,10,4,4,57,0.8,0.13,0.3
Southern,SM9,2013/11/14,1,Middle Water,0.31,0.8,0.005,5.1,0.04,0.47,0.29,24.1,4.7,1.2,2.5,31.9,<0.2,8,0.033,0.054,0.13,15,8,5.9,85,1.4,0.13,0.4
Southern,SM9,2013/11/14,1,Bottom Water,0.32,1.1,0.005,4.4,0.04,0.5,0.32,24,6.5,1.2,2.5,32,<0.2,8,0.032,0.054,0.13,39,23,5.9,85,1.6,0.14,0.2
Southern,SM9,2013/12/14,1,Surface Water,0.3,0.9,0.003,2.8,0.04,0.48,0.32,20.4,4.8,1.2,2,32.9,<0.2,7.8,0.007,0.019,0.14,13,6,6.5,88,0.7,0.14,<0.1
Southern,SM9,2013/12/14,1,Middle Water,0.28,0.8,0.003,3.1,0.04,0.39,0.25,20.4,5.1,1.2,2,32.9,1.1,7.8,0.006,0.02,0.12,9,7,6.6,88,2.8,0.14,0.5
Southern,SM9,2013/12/14,1,Bottom Water,0.31,0.9,0.003,3.2,0.04,0.49,0.32,20.4,5.7,1.2,2,32.9,0.7,7.8,0.009,0.019,0.15,9,5,6.6,88,0.7,0.14,0.1
Southern,SM9,2014/1/9,1,Surface Water,0.06,<0.5,<0.001,2.6,0.04,0.32,0.29,17.2,1.8,0.93,2.4,32.5,<0.2,8,0.007,0.016,0.018,15,10,5,63,1,0.027,0.7
Southern,SM9,2014/1/9,1,Middle Water,0.02,<0.5,<0.001,2.9,0.04,0.21,0.2,17.2,1.8,0.95,2.4,32.6,<0.2,8,0.007,0.002,0.003,48,34,7.2,91,0.5,0.018,0.5
Southern,SM9,2014/1/9,1,Bottom Water,0.34,<0.5,0.004,3,0.04,0.37,0.2,17.2,1.7,1.2,2.4,32.6,<0.2,8,0.009,0.024,0.15,30,24,7.2,91,0.3,0.17,0.4
Southern,SM9,2014/2/24,1,Surface Water,0.2,<0.5,0.003,0.4,0.04,0.42,0.33,16.7,0.8,0.76,3.5,33.3,<0.2,8,0.017,0.019,0.067,2,1,6.4,80,1.2,0.11,0.6
Southern,SM9,2014/2/24,1,Middle Water,0.19,<0.5,0.003,0.4,0.03,0.41,0.33,16.7,1,0.75,3.5,33.2,<0.2,8,0.02,0.016,0.062,1,<1,7.9,99,1.8,0.11,0.7
Southern,SM9,2014/2/24,1,Bottom Water,0.2,0.5,0.003,0.5,0.03,0.43,0.35,16.5,1.4,0.77,3.5,33.2,<0.2,8,0.023,0.019,0.064,1,<1,7.9,99,1.1,0.12,0.6
Southern,SM9,2014/3/24,1,Surface Water,0.43,<0.5,0.004,0.9,0.05,0.59,0.37,18.2,1.4,1.2,3.5,32.6,0.5,7.8,0.032,0.027,0.19,<1,<1,5.3,68,0.6,0.21,0.1
Southern,SM9,2014/3/24,1,Middle Water,0.42,0.6,0.004,0.9,0.05,0.59,0.37,18.1,1.6,1.2,3.5,32.5,0.3,7.8,0.033,0.027,0.19,4,1,7.4,96,1.1,0.2,0.4
Southern,SM9,2014/3/24,1,Bottom Water,0.42,0.5,0.004,0.8,0.04,0.6,0.38,18.1,1.5,1.2,3.5,32.6,0.2,7.8,0.033,0.027,0.19,4,2,7.5,96,0.9,0.2,0.2
Southern,SM9,2014/4/25,1,Surface Water,0.27,0.7,0.006,0.8,0.03,0.49,0.36,22.8,1.1,0.47,2.5,32.2,<0.2,8,0.018,0.014,0.12,210,30,5.3,75,2.4,0.14,<0.1
Southern,SM9,2014/4/25,1,Middle Water,0.27,0.5,0.006,0.9,0.03,0.5,0.37,22.8,1.1,0.48,2.5,32.2,<0.2,8,0.017,0.011,0.12,140,43,5.6,78,1.8,0.14,<0.1
Southern,SM9,2014/4/25,1,Bottom Water,0.26,0.8,0.006,1.2,0.03,0.48,0.36,22.7,3,0.5,2.5,32.2,<0.2,8,0.018,0.014,0.11,400,130,6.7,93,2.1,0.14,<0.1
Southern,SM9,2014/5/15,1,Surface Water,0.6,1.3,0.012,6.2,0.04,0.69,0.34,24.4,10,2.1,2,28.2,<0.2,8,0.028,0.042,0.31,340,160,5.2,73,1.2,0.25,0.5
Southern,SM9,2014/5/15,1,Middle Water,0.56,1.6,0.011,8.7,0.04,0.62,0.31,24.1,12,2,2,29.1,1.7,8,0.026,0.038,0.27,330,150,5.5,77,<0.2,0.25,0.5
Southern,SM9,2014/5/15,1,Bottom Water,0.49,1.8,0.01,13.6,0.04,0.58,0.3,24,15,1.9,2,29.7,1.4,8.1,0.026,0.034,0.25,400,180,5.5,78,0.3,0.21,0.4
Southern,SM9,2014/6/11,1,Surface Water,0.27,4,0.003,1.8,0.04,0.49,0.28,26.6,16,0.12,2.5,28.8,2.8,8,<0.002,0.029,0.18,31,8,6.5,96,24,0.06,2.2
Southern,SM9,2014/6/11,1,Middle Water,0.22,2.2,0.003,1.9,0.03,0.4,0.24,26.6,4.6,0.13,2.5,28.8,4.6,8,0.002,0.017,0.14,23,10,6.9,101,17,0.058,2.1
Southern,SM9,2014/6/11,1,Bottom Water,0.26,2.6,0.003,2.7,0.04,0.39,0.2,26.2,14,0.48,2.5,29.3,2.7,8,0.003,0.029,0.16,35,17,6,87,16,0.074,1.5
Southern,SM9,2014/7/31,1,Surface Water,0.38,1.8,0.001,1.1,0.02,0.6,0.24,28.8,2,2.1,3.2,26.7,0.9,7.9,0.003,0.046,0.31,<1,<1,6.4,96,8.4,0.027,1.6
Southern,SM9,2014/7/31,1,Middle Water,0.45,1.6,0.002,1.1,0.04,0.6,0.19,28.3,3.8,2.2,3.2,27.3,0.5,7.9,0.01,0.055,0.35,85,49,8.3,124,7.5,0.045,0.8
Southern,SM9,2014/7/31,1,Bottom Water,0.48,2.7,0.002,4.5,0.04,0.63,0.23,27,15,2.4,3.2,28.6,<0.2,7.7,0.03,0.057,0.34,130,88,4.2,62,13,0.08,0.5
Southern,SM9,2014/8/7,1,Surface Water,0.47,2.3,0.001,3.1,0.03,0.74,0.3,28.3,7,2.1,2.5,24.3,<0.2,7.9,0.01,0.059,0.38,80,34,6,88,12,0.03,1.6
Southern,SM9,2014/8/7,1,Middle Water,0.44,1.8,0.002,3.3,0.03,0.66,0.26,27.6,5.8,2.1,2.5,26.7,4.2,7.9,0.014,0.056,0.34,83,41,6.5,96,9.3,0.04,1.3
Southern,SM9,2014/8/7,1,Bottom Water,0.39,1.6,0.001,3.1,0.03,0.55,0.21,26.5,5.1,2.1,2.5,28.6,0.8,7.7,0.019,0.051,0.29,110,45,4.5,66,4.7,0.053,0.8
Southern,SM9,2014/9/12,1,Surface Water,0.48,4,<0.001,5.1,0.05,0.61,0.18,28.5,26,2.5,1.8,28.7,<0.2,7.5,0.031,0.11,0.32,120,61,3.8,58,3.1,0.052,0.5
Southern,SM9,2014/9/12,1,Middle Water,0.49,0.8,<0.001,4.9,0.04,0.65,0.21,28.6,8.2,2.5,1.8,28.7,1.4,7.5,0.029,0.11,0.33,98,46,3.8,57,0.7,0.053,0.5
Southern,SM9,2014/9/12,1,Bottom Water,0.49,1.8,<0.001,12.1,0.05,0.7,0.26,28.5,15,2.6,1.8,28.9,<0.2,7.5,0.03,0.11,0.33,200,140,3.9,59,3.4,0.054,0.5
Southern,SM9,2014/10/17,1,Surface Water,0.28,0.8,0.003,4,0.04,0.47,0.29,28.2,3.5,1.5,2.4,32.7,1.8,7.7,0.025,0.084,0.091,150,100,5.8,90,0.3,0.1,0.6
Southern,SM9,2014/10/17,1,Middle Water,0.28,2.2,0.003,3.6,0.03,0.48,0.31,28.2,13,1.5,2.4,32.7,<0.2,7.7,0.026,0.082,0.086,100,97,5.9,90,2,0.11,0.5
Southern,SM9,2014/10/17,1,Bottom Water,0.27,0.7,0.003,3.5,0.03,0.44,0.28,28,4.8,1.5,2.4,32.8,0.5,7.7,0.026,0.082,0.082,100,100,5.8,89,1.6,0.11,0.4
Southern,SM9,2014/11/12,1,Surface Water,0.16,1.4,0.001,3.7,0.03,0.45,0.31,25.2,5.7,0.16,2.7,32.5,2.5,8.1,0.005,0.069,0.074,36,17,7.9,115,16,0.021,1
Southern,SM9,2014/11/12,1,Middle Water,0.2,1.2,0.001,3,0.04,0.38,0.2,25.2,3.8,0.14,2.7,32.5,3.2,8.1,0.007,0.069,0.11,97,59,8.1,118,17,0.024,0.8
Southern,SM9,2014/11/12,1,Bottom Water,0.22,1,0.002,3.4,0.04,0.38,0.21,25.2,3.8,0.2,2.7,32.5,1.8,8.1,0.005,0.06,0.11,130,82,7.5,109,13,0.046,0.7
Southern,SM9,2014/12/4,1,Surface Water,0.22,0.5,0.004,3,0.03,0.41,0.34,22.3,3,0.17,3,32.4,0.3,7.9,0.019,0.006,0.061,78,53,6.5,89,4.4,0.15,1.2
Southern,SM9,2014/12/4,1,Middle Water,0.22,0.6,0.004,2.8,0.03,0.41,0.35,22.3,4.3,0.17,3,32.4,<0.2,7.9,0.019,0.006,0.056,92,55,6.5,90,4.4,0.16,1.2
Southern,SM9,2014/12/4,1,Bottom Water,0.22,1.6,0.004,3,0.03,0.41,0.35,22.3,6.9,0.16,3,32.4,0.9,7.9,0.018,0.006,0.054,68,44,6.5,90,3.7,0.16,1.3
Southern,SM9,2015/1/8,1,Surface Water,0.27,0.7,0.004,3.8,0.03,0.63,0.53,18.2,1.8,0.15,4.2,31.8,<0.2,7.9,0.017,0.011,0.091,76,53,7.5,96,2.8,0.17,0.9
Southern,SM9,2015/1/8,1,Middle Water,0.25,0.9,0.003,4,0.04,0.6,0.5,18.1,1.9,0.14,4.2,31.8,1.5,7.9,0.01,0.012,0.087,98,77,7.8,100,4.6,0.15,0.8
Southern,SM9,2015/1/8,1,Bottom Water,0.25,0.6,0.003,4.1,0.03,0.46,0.36,18,1.2,0.12,4.2,31.8,1.8,7.9,0.006,0.012,0.09,200,110,7.7,98,4.4,0.15,1
Southern,SM9,2015/2/11,1,Surface Water,0.24,0.7,0.002,1.7,0.03,0.55,0.41,17.2,1.5,0.16,4,31.5,2.2,7.9,0.009,0.014,0.13,<1,<1,9.2,115,6,0.1,4.3
Southern,SM9,2015/2/11,1,Middle Water,0.28,0.8,0.003,1.5,0.03,0.6,0.46,16.9,1.1,0.3,4,31.6,2,7.9,0.006,0.014,0.13,4,1,8.7,108,6.2,0.14,0.7
Southern,SM9,2015/2/11,1,Bottom Water,0.31,0.9,0.003,1.4,0.03,0.6,0.44,16.8,2.7,0.38,4,31.6,<0.2,7.8,0.018,0.015,0.14,<1,<1,8.3,103,5.7,0.15,0.6
Southern,SM9,2015/3/12,1,Surface Water,0.33,1,0.003,1.5,0.04,0.6,0.45,18.3,2.1,0.53,2.8,32.1,<0.2,7.8,0.021,0.013,0.14,1,1,7,90,2.7,0.18,1.3
Southern,SM9,2015/3/12,1,Middle Water,0.33,0.8,0.003,1.3,0.04,0.6,0.45,18.3,1.7,0.54,2.8,32.1,0.9,7.7,0.021,0.014,0.14,58,44,7.1,91,2.3,0.18,1.1
Southern,SM9,2015/3/12,1,Bottom Water,0.33,0.6,0.003,1.5,0.03,0.73,0.58,18.3,1.5,0.53,2.8,32.1,2.1,7.7,0.021,0.012,0.14,11,8,6.9,88,0.3,0.18,1
Southern,SM9,2015/4/22,1,Surface Water,0.35,0.8,0.003,2.8,0.03,0.45,0.22,23.2,2.7,0.65,3,31.4,<0.2,7.8,0.011,0.019,0.21,4,1,5.9,83,2.1,0.12,0.3
Southern,SM9,2015/4/22,1,Middle Water,0.35,0.7,0.003,2.4,0.03,0.46,0.23,23.2,3.3,0.63,3,31.4,1.9,7.8,0.006,0.019,0.21,4,1,6.2,87,2.2,0.12,0.3
Southern,SM9,2015/4/22,1,Bottom Water,0.35,0.8,0.003,3.4,0.03,0.44,0.21,23.2,4.3,0.64,3,31.4,0.5,7.8,0.012,0.02,0.21,2,2,6.2,87,1.3,0.12,0.3
Southern,SM9,2015/5/15,1,Surface Water,0.57,1,0.007,3.5,0.03,0.84,0.39,26.9,3.6,1.1,2.5,28.2,1.1,8,0.016,0.056,0.39,3,1,5.7,83,1.8,0.12,0.7
Southern,SM9,2015/5/15,1,Middle Water,0.54,0.8,0.007,4.1,0.04,0.74,0.33,25.8,3.1,0.98,2.5,29.1,0.6,8,0.015,0.054,0.36,5,4,5.3,77,2.5,0.13,0.6
Southern,SM9,2015/5/15,1,Bottom Water,0.51,1.1,0.007,5,0.04,0.73,0.35,25.5,4.4,0.92,2.5,29.4,0.6,8.1,0.016,0.052,0.33,30,16,5.2,75,2.7,0.13,0.6
Southern,SM9,2015/6/22,1,Surface Water,0.52,2.6,0.003,3,0.03,0.84,0.34,29.3,5.2,1.8,2.2,19.8,1,8.4,0.009,0.022,0.48,34,3,9.2,134,13,0.02,2.8
Southern,SM9,2015/6/22,1,Middle Water,0.52,1.8,0.002,3.4,0.04,0.82,0.32,27.9,3.8,2,2.2,23.1,2.4,8.1,0.008,0.026,0.47,250,15,7,101,20,0.021,2.1
Southern,SM9,2015/6/22,1,Bottom Water,0.53,2.6,0.001,5.4,0.05,0.75,0.26,26.1,8.4,2.2,2.2,27.4,1.8,7.8,0.012,0.027,0.46,120,41,3.8,55,12,0.039,1.8
Southern,SM9,2015/7/2,1,Surface Water,0.58,2.1,0.003,3.5,0.07,0.88,0.34,27.8,4.9,3.1,2.2,23,8.7,8.1,0.009,0.055,0.48,25,7,7.6,110,19,0.046,2.2
Southern,SM9,2015/7/2,1,Middle Water,0.55,1.4,0.002,3.9,0.06,0.84,0.34,26.9,2.7,2.7,2.2,25.8,4.8,8,0.012,0.047,0.45,61,17,5.4,78,22,0.048,1.8
Southern,SM9,2015/7/2,1,Bottom Water,0.5,1.4,0.002,8,0.08,0.75,0.32,25.9,5.5,2.7,2.2,28.7,5.3,7.8,0.022,0.046,0.38,59,31,2.6,38,12,0.069,1.1
Southern,SM9,2015/8/7,1,Surface Water,0.42,1.5,0.002,3.6,0.1,0.84,0.48,26.3,2.8,2.1,3.2,28.8,4,7.8,0.017,0.053,0.31,400,22,6,88,15,0.057,1.4
Southern,SM9,2015/8/7,1,Middle Water,0.42,1.6,0.002,3.8,0.09,0.72,0.36,26.3,2.2,2,3.2,28.8,5,7.8,0.018,0.052,0.31,97,49,6.2,91,12,0.055,1.1
Southern,SM9,2015/8/7,1,Bottom Water,0.41,1.5,0.002,5.3,0.08,0.63,0.29,25.7,3.5,2.1,3.2,29.8,3.4,7.7,0.024,0.051,0.29,150,110,4.3,62,9.3,0.068,0.8
Southern,SM9,2015/9/4,1,Surface Water,0.44,0.7,0.004,5.1,0.07,0.66,0.36,26.7,4.2,2.1,2.6,29.9,1.2,7.8,0.035,0.063,0.24,5,2,4.3,64,0.9,0.14,0.4
Southern,SM9,2015/9/4,1,Middle Water,0.42,1,0.004,5.3,0.08,0.62,0.35,26.1,7.8,2.1,2.6,30.2,0.3,7.8,0.035,0.054,0.22,9,6,4.3,63,1.3,0.15,0.5
Southern,SM9,2015/9/4,1,Bottom Water,0.42,5.5,0.004,8,0.12,0.64,0.36,25.5,12,2.1,2.6,30.4,0.7,7.8,0.035,0.055,0.22,69,34,4,58,0.7,0.14,0.6
Southern,SM9,2015/10/5,1,Surface Water,0.4,3.2,<0.001,19.9,0.05,0.62,0.24,28,27,2.2,2,30.4,3,7.8,0.032,0.16,0.22,34,16,5.3,80,1.1,0.024,0.6
Southern,SM9,2015/10/5,1,Middle Water,0.41,2.5,0.001,20.1,0.05,0.6,0.22,28,26,2.2,2,30.4,3,7.8,0.034,0.16,0.22,19,6,5.5,83,1,0.033,0.6
Southern,SM9,2015/10/5,1,Bottom Water,0.41,1.9,<0.001,21.6,0.04,0.6,0.22,28.1,15,2.3,2,30.4,3.2,7.8,0.029,0.16,0.22,31,10,5.4,82,1,0.026,0.5
Southern,SM9,2015/11/2,1,Surface Water,0.24,0.6,0.005,5.9,0.06,0.76,0.63,26.5,3.2,0.51,2.7,31.7,1,8,0.017,0.028,0.1,9,3,5.3,79,3.7,0.11,0.4
